city_name_new,state,loc,n
pali,rajasthan,Pune City,5
ongole,andhra pradesh,Pune City,5
navsari,gujarat,Pune City,5
nandurbar,maharashtra,Pune City,5
kotdwara,uttarakhand,kotdwara,5
kharar,punjab,Pune City,5
solan,himachal pradesh,Pune City,5
begusarai,bihar,Pune City,5
bijapur,karnataka,Pune City,5
nagaur,rajasthan,Pune City,5
bharatpur,rajasthan,Pune City,5
shahjahanpur,uttar pradesh,Pune City,4
cuddalore,tamil nadu,sellankuppam,4
bulandshahr,uttar pradesh,Pune City,4
jagdalpur,chhattisgarh,Pune City,4
jalna,maharashtra,Pune City,4
kanchipuram,tamil nadu,Pune City,4
sagar,madhya pradesh,Pune City,4
dombivli,maharashtra,Pune City,4
dibrugarh,assam,Pune City,4
rewa,madhya pradesh,Pune City,4
shimla,himachal pradesh,Pune City,4
nizamabad,telangana,Pune City,4
neemuch,madhya pradesh,Pune City,4
palghar,maharashtra,Pune City,4
bhagalpur,bihar,Pune City,4
amreli,gujarat,Pune City,4
latur,maharashtra,Pune City,4
muzaffarnagar,uttar pradesh,Pune City,4
khordha,odisha,Pune City,4
korba,chhattisgarh,Pune City,4
kharghar,maharashtra,Pune City,4
bidar,karnataka,Pune City,4
kanpur dehat,uttar pradesh,Pune City,4
panchkula,haryana,Pune City,4
davangere,karnataka,Pune City,4
jhalawar,rajasthan,Pune City,4
ballia,uttar pradesh,Pune City,4
vashi,maharashtra,Pune City,4
hoshiarpur,punjab,Pune City,4
etawah,uttar pradesh,Pune City,4
valsad,gujarat,Pune City,4
erode,tamil nadu,Pune City,4
deoghar,jharkhand,Pune City,4
ghazipur,uttar pradesh,Pune City,4
secunderabad,telangana,Pune City,4
raebareli,uttar pradesh,Pune City,4
lakhimpur kheri,uttar pradesh,Pune City,4
hooghly,west bengal,Pune City,4
udupi,karnataka,Pune City,3
gulbarga,karnataka,Pune City,3
hoshangabad,madhya pradesh,Pune City,3
fazilka,punjab,Pune City,3
dhule,maharashtra,Pune City,3
purnia,bihar,Pune City,3
hapur,uttar pradesh,Pune City,3
hoskote,karnataka,Pune City,3
ramanathapuram,tamil nadu,Pune City,3
durg,chhattisgarh,Pune City,3
ramanagara,karnataka,Pune City,3
thanjavur,tamil nadu,Pune City,3
tenali,andhra pradesh,Pune City,3
barhalganj,uttar pradesh,Pune City,3
kullu,himachal pradesh,Pune City,3
bapatla,andhra pradesh,Pune City,3
amb,himachal pradesh,Pune City,3
malappuram,kerala,Pune City,3
akola,maharashtra,Pune City,3
mandsaur,madhya pradesh,Pune City,3
mainpuri,uttar pradesh,Pune City,3
mahendragarh,haryana,Pune City,3
sonbhadra,uttar pradesh,Pune City,3
kengeri,karnataka,Pune City,3
motihari,bihar,Pune City,3
miraj,maharashtra,Pune City,3
nadia,west bengal,Pune City,3
khamgaon,maharashtra,Pune City,3
madhyamgram,west bengal,Pune City,3
berhampur,odisha,Pune City,3
banda,uttar pradesh,Pune City,3
bardoli,gujarat,Pune City,3
shillong,meghalaya,Pune City,3
chhindwara,madhya pradesh,Pune City,3
bhilai,chhattisgarh,Pune City,3
kharagpur,west bengal,Pune City,3
imphal,manipur,Pune City,3
pathanamthitta,kerala,Pune City,3
kakinada,andhra pradesh,Pune City,3
jalore,rajasthan,Pune City,3
kannur,kerala,Pune City,3
itanagar,arunachal pradesh,Pune City,3
jaunpur,uttar pradesh,Pune City,3
dhar,madhya pradesh,nagda,3
patan,gujarat,Pune City,3
pilibhit,uttar pradesh,Pune City,3
guna,madhya pradesh,Pune City,3
darrang,assam,Pune City,3
ambikapur,chhattisgarh,Pune City,3
ankleshwar,gujarat,Pune City,3
ratlam,madhya pradesh,Pune City,3
faizabad,uttar pradesh,Pune City,3
bhayandar,maharashtra,Pune City,3
bhiwandi,maharashtra,Pune City,3
bhiwadi,rajasthan,Pune City,3
betul,madhya pradesh,Pune City,3
surendranagar,gujarat,Pune City,2
suri,west bengal,Pune City,2
tilakwadi,karnataka,Pune City,2
bavla,gujarat,Pune City,2
baran,rajasthan,Pune City,2
agartala,tripura,Pune City,2
udham singh nagar,uttarakhand,Pune City,2
sultanpur,uttar pradesh,Pune City,2
darbhanga,bihar,Pune City,2
daman,daman and diu,Pune City,2
dahod,gujarat,Pune City,2
angul,odisha,Pune City,2
wagholi,maharashtra,Pune City,2
amroha,uttar pradesh,Pune City,2
anantapur,andhra pradesh,Pune City,2
anantnag,jammu & kashmir,Pune City,2
east singhbhum,jharkhand,Pune City,2
fatehabad,haryana,Pune City,2
ganjam,odisha,Pune City,2
fatehpur,uttar pradesh,Pune City,2
east sikkim,sikkim,Pune City,2
bankura,west bengal,Pune City,2
bardhaman,west bengal,Pune City,2
west tripura,tripura,Pune City,2
dewas,madhya pradesh,Pune City,2
dimapur,nagaland,Pune City,2
roorkee,uttarakhand,Pune City,2
rourkela,odisha,Pune City,2
safidon,haryana,Pune City,2
seoni,madhya pradesh,Pune City,2
rayagada,odisha,Pune City,2
sawai madhopur,rajasthan,Pune City,2
pudukkottai,tamil nadu,Pune City,2
raiganj,west bengal,Pune City,2
prakasam,andhra pradesh,Pune City,2
pratapgarh,uttar pradesh,Pune City,2
gonda,uttar pradesh,Pune City,2
haldia,west bengal,Pune City,2
east godavari,andhra pradesh,Pune City,2
rajnandgaon,chhattisgarh,Pune City,2
karad,maharashtra,Pune City,2
kalol,gujarat,Pune City,2
kalyani,west bengal,Pune City,2
kamrup,assam,Pune City,2
dharuhera,haryana,Pune City,2
jehanabad,bihar,Pune City,2
porbandar,gujarat,Pune City,2
dharmapuri,tamil nadu,Pune City,2
palwal,haryana,Pune City,2
parbhani,maharashtra,Pune City,2
paonta sahib,himachal pradesh,Pune City,2
pehowa,haryana,Pune City,2
jalalabad,punjab,Pune City,2
kangra,himachal pradesh,Pune City,2
shirdi,maharashtra,Pune City,2
silvassa,dadra and nagar haveli,Pune City,2
padra,gujarat,Pune City,2
orai,uttar pradesh,Pune City,2
boisar,maharashtra,Pune City,2
chandausi,uttar pradesh,Pune City,2
byasanagar,odisha,Pune City,2
buldhana,maharashtra,Pune City,2
chikmagalur,karnataka,Pune City,2
churu,rajasthan,Pune City,2
shamli,uttar pradesh,Pune City,2
sheopur,madhya pradesh,Pune City,2
jind,haryana,Pune City,2
jorhat,assam,Pune City,2
sitapur,uttar pradesh,Pune City,2
singrauli,madhya pradesh,Pune City,2
khammam,telangana,Pune City,2
palanpur,gujarat,Pune City,2
bhuj,gujarat,Pune City,2
bahadurgarh,haryana,Pune City,2
bahraich,uttar pradesh,Pune City,2
narsapur,andhra pradesh,Pune City,2
nainital,uttarakhand,Pune City,2
mirzapur,uttar pradesh,Pune City,2
belthangady,karnataka,Pune City,2
bellary,karnataka,Pune City,2
manesar,haryana,Pune City,2
medak district,telangana,Pune City,2
malout,punjab,Pune City,2
agar malwa,madhya pradesh,Pune City,2
adilabad,telangana,Pune City,2
alipurduar,west bengal,Pune City,2
abu road,rajasthan,Pune City,2
abohar,punjab,Pune City,2
alappuzha,kerala,Pune City,1
almora,uttarakhand,Pune City,1
ambedkar nagar,uttar pradesh,Pune City,1
ambegaon,maharashtra,Pune City,1
amethi,uttar pradesh,Pune City,1
anekal,karnataka,Pune City,1
anuppur,madhya pradesh,Pune City,1
araria,bihar,Pune City,1
ashoknagar,madhya pradesh,Pune City,1
athani,karnataka,Pune City,1
auraiya,uttar pradesh,Pune City,1
ayodhya,uttar pradesh,Pune City,1
umbergaon,gujarat,Pune City,1
una,himachal pradesh,Pune City,1
uttara kannada,karnataka,Pune City,1
vaijnath,maharashtra,Pune City,1
vaishali,bihar,Pune City,1
veraval,gujarat,Pune City,1
verna,goa,Pune City,1
vidisha,madhya pradesh,Pune City,1
vijapur,gujarat,Pune City,1
viluppuram,tamil nadu,Pune City,1
visnagar,gujarat,Pune City,1
vizianagaram,andhra pradesh,Pune City,1
wardha,maharashtra,Pune City,1
west godavari,andhra pradesh,Pune City,1
west kameng,arunachal pradesh,Pune City,1
zamania,uttar pradesh,Pune City,1
krishnagiri,tamil nadu,Pune City,1
kushalanagar,karnataka,Pune City,1
lakhisarai,bihar,Pune City,1
lalitpur,uttar pradesh,Pune City,1
lower subansiri,arunachal pradesh,Pune City,1
machilipatnam,andhra pradesh,Pune City,1
madanganj,rajasthan,Pune City,1
madhepura,bihar,Pune City,1
madhubani,bihar,Pune City,1
maharajganj,uttar pradesh,Pune City,1
mahbubnagar,telangana,Pune City,1
mahoba,uttar pradesh,Pune City,1
maldah,west bengal,Pune City,1
malkangiri,odisha,Pune City,1
mancherial,telangana,Pune City,1
mandi,himachal pradesh,Pune City,1
mandi gobindgarh,punjab,Pune City,1
mandya,karnataka,Pune City,1
margao,goa,Pune City,1
mau,uttar pradesh,Pune City,1
meham,haryana,Pune City,1
modinagar,uttar pradesh,Pune City,1
moga,punjab,Pune City,1
murshidabad,west bengal,Pune City,1
murthal,haryana,Pune City,1
nabarangpur,odisha,Pune City,1
nabha,punjab,Pune City,1
nadiad,gujarat,Pune City,1
nagole,telangana,Pune City,1
nahan,himachal pradesh,Pune City,1
katihar,bihar,Pune City,1
katni,madhya pradesh,Pune City,1
kekri,rajasthan,Pune City,1
kelambakkam,tamil nadu,Pune City,1
kendrapara,odisha,Pune City,1
khair,uttar pradesh,Pune City,1
kheda,gujarat,Pune City,1
khopoli,maharashtra,Pune City,1
kokrajhar,assam,Pune City,1
kolar,karnataka,Pune City,1
koppal,karnataka,Pune City,1
koraput,odisha,Pune City,1
koriya,chhattisgarh,Pune City,1
kotagiri,tamil nadu,Pune City,1
kotma,madhya pradesh,Pune City,1
krishna,andhra pradesh,Pune City,1
nalanda,bihar,Pune City,1
nangal,punjab,Pune City,1
narsinghpur,madhya pradesh,Pune City,1
narwana,haryana,Pune City,1
nasirabad,rajasthan,Pune City,1
neem-ka-thana,rajasthan,Pune City,1
neemrana,rajasthan,Pune City,1
nimbahera,rajasthan,nimbahera,1
nohar,rajasthan,Pune City,1
nuh,haryana,Pune City,1
nuzvid,andhra pradesh,Pune City,1
padrauna,uttar pradesh,Pune City,1
pala,kerala,kummil,1
palamu,jharkhand,Pune City,1
kadapa,andhra pradesh,Pune City,1
kadiri,andhra pradesh,Pune City,1
kalahandi,odisha,Pune City,1
kanjirappally,kerala,Pune City,1
kannauj,uttar pradesh,Pune City,1
karaikal,pondicherry,Pune City,1
karauli,rajasthan,Pune City,1
karkala,karnataka,Pune City,1
karur,tamil nadu,Pune City,1
karwar,karnataka,Pune City,1
kathua,jammu & kashmir,Pune City,1
ibrahimpatnam,telangana,Pune City,1
ichalkaranji,maharashtra,Pune City,1
jagadhri,haryana,Pune City,1
jalpaiguri,west bengal,Pune City,1
jam jodhpur,gujarat,Pune City,1
jangaon,telangana,Pune City,1
jashpur,chhattisgarh,Pune City,1
jharsuguda,odisha,Pune City,1
panaji,goa,Pune City,1
panchmahal,gujarat,Pune City,1
pandharpur,maharashtra,Pune City,1
panna,madhya pradesh,Pune City,1
paratwada,maharashtra,Pune City,1
parvathipuram,andhra pradesh,Pune City,1
paschim medinipur,west bengal,Pune City,1
pathankot,punjab,Pune City,1
perambalur,tamil nadu,Pune City,1
perumbavoor,kerala,Pune City,1
phaltan,maharashtra,Pune City,1
pithoragarh,uttarakhand,Pune City,1
pohir,punjab,Pune City,1
ponda,goa,Pune City,1
poonamallee,tamil nadu,Pune City,1
poonch,jammu & kashmir,Pune City,1
gopalganj,bihar,Pune City,1
guruvayoor,kerala,Pune City,1
hajipur,bihar,Pune City,1
