variant_name,brand_name,model_new,oem_name,car_segment,body_type_new,bt,fuel_type_new,transmission_type_new,engine_cc,engine_capacity_new,Engine Type,Value Configuration,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Fuel Suppy System,Color,exterior_color,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Turning Radius,No Door Numbers,Cargo Volumn,seating_capacity_new,max_engine_capacity_new,min_engine_capacity_new,mileage_new,top_features_count,comfort_features_count,interior_features_count,exterior_features_count,safety_features_count,listing_count
ashok leyland stile le,ashok leyland,Ashok Leyland Stile,ashok leyland,MUV,MUV cars,MUV,diesel,manual,1000cc-2000cc,1000cc-2000cc,Intercooled Diesel Engine,DOHC,Yes,No,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial ",COMMON RAIL ,White,White,1461.0,75.0,185.0,4.0,4.0,4400.0,1700.0,1860.0,2725.0,5.2,5.0,350.0,8.0,1461.0,1461.0,20.07,9.0,4.0,9.0,5.0,14.0,1
aston martin vantage v8 4.7l,aston martin,Aston Martin Vantage,aston martin,Coupe,Coupe cars,Coupe,petrol,automatic,4000cc-5000cc,4000cc-5000cc,V8 Petrol Engine,DOHC,No,No,6-Speed,RWD,Power,Ventilated & Grooved Steel Discs,Ventilated & Grooved Steel Discs,"Tubeless,Radial",DIRECT INJECTION,Orange,Orange,4735.0,420.0,470.0,8.0,4.0,4380.0,2025.0,1255.0,2600.0,5.55,2.0,300.0,2.0,4735.0,4735.0,9.6,9.0,16.0,12.0,11.0,27.0,1
audi a3 35 tdi attraction,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,White,White,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,13.0,10.0,29.0,1
audi a3 35 tdi premium,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,Glacier white Metallic,Glacier white Metallic,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,13.0,30.0,6
audi a3 35 tdi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,White,White,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,14.0,30.0,28
audi a3 35 tdi technology,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",CRDI,Blue,Blue,1968.0,143.0,320.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1968.0,1968.0,20.38,9.0,18.0,14.0,14.0,30.0,7
audi a3 35 tfsi premium,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",DIRECT INJECTION,Blue,Blue,1395.0,150.0,250.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.8,9.0,19.0,14.0,14.0,30.0,1
audi a3 35 tfsi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Blue,Blue,1395.0,150.0,250.0,4.0,4.0,4458.0,1796.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.2,9.0,27.0,14.0,17.0,32.0,3
audi a3 35 tfsi technology,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1395.0,150.0,250.0,4.0,4.0,4458.0,1796.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1395.0,1395.0,19.2,9.0,27.0,14.0,17.0,32.0,1
audi a3 40 tfsi premium plus,audi,Audi A3,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine ,DOHC,Yes,No,7 Speed S Tronic,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial ",DIRECT INJECTION,Brown,Brown,1798.0,177.5,250.0,4.0,4.0,4456.0,1960.0,1416.0,2637.0,5.35,4.0,425.0,5.0,1798.0,1798.0,16.6,9.0,20.0,13.0,13.0,29.0,2
audi a3 cabriolet 40 tfsi premium plus,audi,Audi A3 cabriolet,audi,Convertibles,Convertibles cars,Convertibles,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Glacier white Metallic,Glacier white Metallic,1798.0,177.0,250.0,4.0,4.0,4421.0,1960.0,1409.0,2595.0,5.45,2.0,320.0,4.0,1798.0,1798.0,16.6,9.0,19.0,14.0,13.0,27.0,3
audi a4 1.8 tfsi,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In-Line Engine,DOHC,No,Yes,7 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",MPFI,Black,Black,1781.0,163.2,22.9,4.0,5.0,4.0,1.0,1.0,2.0,5.55,4.0,350.0,5.0,1781.0,1781.0,12.3,9.0,17.0,12.0,12.0,20.0,7
audi a4 1.8 tfsi multitronic,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,21.0,13.0,14.0,30.0,3
audi a4 1.8 tfsi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Brown,Brown,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,21.0,13.0,13.0,30.0,3
audi a4 1.8 tfsi technology edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Blue,Blue,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,23.0,13.0,13.0,31.0,1
audi a4 2.0 tdi,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1968.0,147.51,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,11.5,4.0,480.0,5.0,1968.0,1968.0,16.55,9.0,18.0,12.0,13.0,28.0,33
audi a4 2.0 tdi celebration edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1968.0,147.51,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,11.5,4.0,480.0,5.0,1968.0,1968.0,16.55,9.0,18.0,12.0,13.0,28.0,1
audi a4 2.0 tdi multitronic,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,In-Line Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",DIRECT INJECTION,Blue,Blue,1968.0,140.0,32.6,4.0,4.0,4586.0,1772.0,1427.0,2642.0,5.55,4.0,350.0,5.0,1968.0,1968.0,16.55,9.0,17.0,15.0,12.0,20.0,9
audi a4 2.0 tdi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Ibis White,Ibis White,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,20.0,13.0,13.0,30.0,9
audi a4 2.0 tdi premium sport limited edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,11.5,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,20.0,12.0,16.0,29.0,2
audi a4 2.0 tdi technology edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Brown,Brown,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,22.0,13.0,13.0,31.0,1
audi a4 2.0 tfsi,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In-Line Engine,DOHC,Yes,No,6 Speed,AWD,Power,ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Grey,Grey,1984.0,132.0,320.0,4.0,4.0,4703.0,1772.0,1427.0,2808.0,5.6,4.0,460.0,5.0,1984.0,1984.0,10.8,9.0,20.0,12.0,13.0,26.0,2
audi a4 30 tfsi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1395.0,147.51,250.0,4.0,4.0,4726.0,1842.0,1427.0,2820.0,5.8,4.0,480.0,5.0,1395.0,1395.0,17.84,9.0,23.0,13.0,14.0,34.0,2
audi a4 30 tfsi technology,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Grey,Grey,1395.0,147.51,250.0,4.0,4.0,4726.0,1842.0,1427.0,2820.0,5.8,4.0,480.0,5.0,1395.0,1395.0,17.84,9.0,24.0,13.0,14.0,34.0,3
audi a4 35 ql tfsi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Red,Red,1395.0,147.51,250.0,4.0,4.0,4726.0,1842.0,1427.0,2820.0,5.8,4.0,480.0,5.0,1395.0,1395.0,17.84,9.0,23.0,13.0,14.0,34.0,2
audi a4 35 tdi premium,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,20.0,13.0,12.0,30.0,4
audi a4 35 tdi premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,White,White,1968.0,187.74,400.0,4.0,4.0,4726.0,1842.0,1427.0,2820.0,5.8,4.0,480.0,5.0,1968.0,1968.0,18.25,9.0,23.0,13.0,14.0,34.0,13
audi a4 35 tdi premium sport,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Brown,Brown,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,20.0,13.0,12.0,30.0,2
audi a4 35 tdi technology,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,187.74,400.0,4.0,4.0,4726.0,1842.0,1427.0,2820.0,5.8,4.0,480.0,5.0,1968.0,1968.0,18.25,9.0,24.0,13.0,14.0,34.0,10
audi a4 35 tdi technology edition,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",CRDI,Silver,Silver,1968.0,174.33,380.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1968.0,1968.0,17.11,9.0,22.0,13.0,12.0,31.0,8
audi a4 35 tfsi premium,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1798.0,167.62,320.0,4.0,4.0,4701.0,2040.0,1427.0,2808.0,5.8,4.0,480.0,5.0,1798.0,1798.0,15.64,9.0,21.0,13.0,12.0,30.0,2
audi a4 new  2.0 tdi multitronic,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,In Line Engine,DOHC,Yes,No,6 Speed,FWD,Power,Ventilated Disc,Disc,"Tubeless,Radial",DIRECT INJECTION,Ibis White,Ibis White,1968.0,140.8,320.0,4.0,4.0,4701.0,1826.0,1427.0,2808.0,5.5,4.0,480.0,5.0,1968.0,1968.0,15.2,9.0,19.0,12.0,10.0,25.0,8
audi a4 premium plus,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,2.0 L TFSI petrol engine,DOHC,Yes,No,7-speed Stronic,FWD,Electric,Disc,Drum,"Tubeless,Radial",MPFI,White,White,1998.0,187.74,320.0,4.0,4.0,4762.0,1847.0,1433.0,2819.0,5.1,4.0,460.0,5.0,1998.0,1998.0,17.42,9.0,35.0,15.0,23.0,48.0,1
audi a4 technology,audi,Audi A4,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,2.0 L TFSI petrol engine,DOHC,Yes,No,7-speed Stronic,FWD,Electric,Disc,Drum,"Tubeless,Radial",MPFI,Blue,Blue,1998.0,187.74,320.0,4.0,4.0,4762.0,1847.0,1433.0,2819.0,5.1,4.0,460.0,5.0,1998.0,1998.0,17.42,9.0,35.0,15.0,24.0,48.0,5
audi a5 sportback,audi,Audi A5,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,2.0 TDI Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Disc,Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,187.74,400.0,4.0,4.0,4733.0,1843.0,1386.0,2824.0,5.7,4.0,480.0,5.0,1968.0,1968.0,19.2,9.0,28.0,13.0,13.0,34.0,2
audi a6 2.0 tdi,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,White,White,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,22.0,13.0,14.0,31.0,25
audi a6 2.0 tdi premium plus,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,White,White,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,22.0,13.0,13.0,31.0,26
audi a6 2.0 tdi special edition,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,8 Speed Multitronic,FWD,Power,Disc,Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,6.0,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,24.0,13.0,18.0,28.0,3
audi a6 2.0 tdi technology,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Silver,Silver,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,23.0,13.0,13.0,31.0,2
audi a6 2.0 tfsi premium,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1984.0,177.01,320.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1984.0,1984.0,13.53,9.0,23.0,13.0,13.0,31.0,1
audi a6 2.0 tfsi premium plus,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,TFSI Petrol Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1984.0,177.01,320.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1984.0,1984.0,13.53,9.0,23.0,13.0,13.0,31.0,1
audi a6 2.7 tdi,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Engine,DOHC,Yes,No,6 Speed,FWD,Power,Disc & Drum,Disc,"Tubeless,Radial",CRDI,Black,Black,2698.0,179.5,38.8,6.0,4.0,4916.0,1855.0,1459.0,2843.0,5.1,4.0,546.0,5.0,2698.0,2698.0,12.4,9.0,20.0,12.0,14.0,24.0,5
audi a6 2.8 fsi,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Engine,DOHC,No,No,6 Speed,FWD,Power,Disc & Drum,Disc,"Tubeless,Radial",DIRECT INJECTION,Silver,Silver,2773.0,201.0,280.0,6.0,4.0,4915.0,1874.0,1455.0,2912.0,5.1,4.0,546.0,5.0,2773.0,2773.0,10.4,9.0,20.0,12.0,14.0,25.0,5
audi a6 3.0 tdi quattro,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Diesel Engine,DOHC,Yes,No,8 Speed,AWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,White,White,2967.0,241.38,500.0,6.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,2967.0,2967.0,16.77,9.0,22.0,13.0,14.0,31.0,5
audi a6 3.0 tdi quattro premium plus,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Diesel Engine,DOHC,Yes,No,8 Speed,AWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Blue,Blue,2967.0,241.38,500.0,6.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,2967.0,2967.0,14.57,9.0,22.0,13.0,13.0,31.0,2
audi a6 3.0 tdi quattro technology,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Diesel Engine,DOHC,Yes,No,8 Speed,AWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Black,Black,2967.0,241.38,500.0,6.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,2967.0,2967.0,14.57,9.0,23.0,13.0,13.0,31.0,2
audi a6 35 tdi,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,In Line Diesel Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,187.74,400.0,4.0,4.0,4933.0,1874.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,18.53,9.0,30.0,13.0,12.0,37.0,38
audi a6 35 tdi premium,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine ,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Black,Black,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,20.0,12.0,12.0,30.0,10
audi a6 35 tdi technology,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,diesel,automatic,1000cc-2000cc,1000cc-2000cc,TDI Diesel Engine,DOHC,Yes,No,8 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",CRDI,Ibis White,Ibis White,1968.0,174.33,380.0,4.0,4.0,4915.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1968.0,1968.0,17.68,9.0,20.0,12.0,12.0,30.0,5
audi a6 35 tfsi,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In Line Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,Silver,Silver,1798.0,187.74,320.0,4.0,4.0,4933.0,2086.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1798.0,1798.0,15.26,9.0,25.0,13.0,12.0,29.0,1
audi a6 35 tfsi matrix,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In Line Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,White,White,1798.0,187.74,320.0,4.0,4.0,4933.0,1874.0,1455.0,2912.0,5.95,4.0,530.0,5.0,1798.0,1798.0,15.26,9.0,30.0,13.0,12.0,37.0,6
audi a6 45 tfsi premium plus,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In Line Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1984.0,241.3,370.0,4.0,4.0,4939.0,2110.0,1470.0,2930.0,5.95,4.0,560.0,5.0,1984.0,1984.0,14.11,9.0,30.0,16.0,14.0,41.0,4
audi a6 45 tfsi technology,audi,Audi A6,audi,Sedan,Sedan cars,Sedan,petrol,automatic,1000cc-2000cc,1000cc-2000cc,In Line Petrol Engine,DOHC,Yes,No,7 Speed,FWD,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",DIRECT INJECTION,Black,Black,1984.0,241.3,370.0,4.0,4.0,4939.0,2110.0,1470.0,2930.0,5.95,4.0,560.0,5.0,1984.0,1984.0,14.11,9.0,31.0,13.0,14.0,38.0,11
audi a7 3.0 tdi quattro,audi,Audi A7,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,Quattro Engine,DOHC,Yes,No,7 Speed S Tronic,AWD,Power,Disc,Disc,Tubeless Radial Tyrees,COMMON RAIL INJECTION ,Black,Black,2967.0,241.4,500.0,6.0,4.0,4969.0,2139.0,1420.0,2914.0,5.95,5.0,535.0,5.0,2967.0,2967.0,14.4,9.0,23.0,12.0,16.0,31.0,2
audi a7 sportback,audi,Audi A7,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,Quattro Engine,DOHC,Yes,No,7 Speed S Tronic,AWD,Power,Disc,Disc,Tubeless Radial Tyrees,COMMON RAIL INJECTION ,Blue,Blue,2967.0,241.4,500.0,6.0,4.0,4969.0,2139.0,1420.0,2914.0,5.95,5.0,535.0,5.0,2967.0,2967.0,18.9,9.0,23.0,12.0,16.0,31.0,1
audi a8 l 3.0 tdi quattro,audi,Audi A8,audi,Sedan,Sedan cars,Sedan,diesel,automatic,2000cc-3000cc,2000cc-3000cc,V-Type Engine,DOHC,Yes,No,8 Speed Tiptronic,AWD,Power,Disc,Disc,"Tubeless,Radial",CRDI,Ice Silver Metallic,Ice Silver Metallic,2967.0,246.74,580.0,6.0,4.0,5265.0,2111.0,1471.0,3122.0,6.35,4.0,520.0,4.0,2967.0,2967.0,16.77,9.0,25.0,14.0,15.0,31.0,3
